Fid,Certification_Course,Gender,Department,Height_CM,Weight_KG,10th_Mark,12th_Mark,hobbies,daily_studing_time,prefer_to_study_in,like_your_degree,social_medai_video,Travelling_Time ,Stress_Level ,Financial_Status,alcohol_consumption,part_time_job,Label
216.58.219.202-10.42.0.151-443-55745-6,No,Male,B.com ISM,173,60,60,52,Video Games,1 - 2 Hour,Night,Yes,30 - 60 Minute,1 - 1.30 hour,Bad,Bad,yes,No,1
172.217.6.206-10.42.0.151-443-32875-6,No,Female,B.com ISM,149,40,60,60,Cinema,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Bad,good,no,No,1
172.217.10.138-10.42.0.211-443-37120-6,Yes,Male,B.com ISM,170,55,50,50,Cinema,30 - 60 minute,Night,Yes,1 - 30 Minute,30 - 60 minutes,Bad,good,yes,Yes,0
10.42.0.211-54.149.94.193-35657-443-6,No,Female,B.com ISM,155,39,45,45,Sports,3 - 4 hour,Night,No,30 - 60 Minute,30 - 60 minutes,fabulous,good,no,No,1
209.85.232.101-10.42.0.151-443-32890-6,Yes,Male,B.com ISM,153,45,67,54,Cinema,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,yes,No,0
10.42.0.211-10.42.0.1-26143-53-17,Yes,Male,B.com ISM,170,65,79,62,Cinema,1 - 2 Hour,Morning,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,no,No,1
172.217.6.206-10.42.0.151-443-45745-6,No,Male,B.com ISM,173,75,60,50,Sports,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,1.30 - 2 hour,Bad,Bad,no,No,0
239.255.255.250-10.42.0.1-1900-56691-17,Yes,Male,B.com ISM,170,60,50,50,Reading books,1 - 2 Hour,Anytime,Yes,More than 2 hour,1 - 1.30 hour,Bad,good,yes,Yes,0
10.42.0.211-23.194.140.226-48102-80-6,Yes,Male,B.com ISM,120,74,80,70,Cinema,1 - 2 Hour,Anytime,Yes,More than 2 hour,30 - 60 minutes,Bad,Bad,yes,Yes,1
10.42.0.211-10.42.0.1-38714-53-17,Yes,Female,Commerce,160,68,96,92,Cinema,3 - 4 hour,Morning,Yes,1.30 - 2 hour,0 - 30 minutes,Good,good,no,No,1
10.42.0.42-106.11.93.16-35837-443-6,No,Male,Commerce,140,86,76,83,Cinema,30 - 60 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Good,Bad,no,No,0
10.42.0.211-52.84.34.143-57161-443-6,Yes,Male,Commerce,165,60,55,50,Sports,0 - 30 minute,Morning,Yes,1 - 30 Minute,1 - 1.30 hour,Good,Bad,yes,No,0
172.217.3.106-10.42.0.151-443-60823-6,Yes,Male,Commerce,161,55,89,79,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Bad,no,No,1
172.217.11.46-10.42.0.151-443-46447-6,Yes,Female,Commerce,146,39,95.6,86,Cinema,1 - 2 Hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,no,No,0
192.229.163.180-10.42.0.42-443-52283-6,Yes,Male,Commerce,155,70,60,60,Sports,2 - 3 hour,Night,Yes,More than 2 hour,1 - 1.30 hour,Good,good,yes,Yes,0
180.149.138.210-10.42.0.211-80-40262-6,No,Male,Commerce,120,80,81,80,Cinema,30 - 60 minute,Night,Yes,More than 2 hour,0 - 30 minutes,Good,Fabulous,no,Yes,1
10.42.0.211-10.42.0.1-60774-53-17,Yes,Male,Commerce,160,70,84,76,Video Games,30 - 60 minute,Anytime,Yes,More than 2 hour,1 - 1.30 hour,Bad,Bad,yes,Yes,0
10.42.0.211-10.42.0.1-40754-53-17,Yes,Female,Commerce,152,32,80,60,Sports,1 - 2 Hour,Night,Yes,1 - 1.30 hour,30 - 60 minutes,Bad,good,yes,No,1
10.42.0.211-72.21.207.148-42355-443-6,No,Male,Commerce,168,75,75,65,Cinema,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,1
216.58.219.227-10.42.0.151-443-56610-6,Yes,Female,Commerce,152,64,90.4,80,Cinema,1 - 2 Hour,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Good,good,no,No,0
208.80.154.224-10.42.0.211-443-34709-6,No,Male,Commerce,156,45,85,75,Sports,More Than 4 hour,Anytime,Yes,1 - 1.30 hour,2 - 2.30 hour,Good,Bad,yes,Yes,0
10.42.0.42-31.13.80.37-36411-443-6,Yes,Female,Commerce,151,55,93.8,83.5,Reading books,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,30 - 60 minutes,Good,good,no,Yes,1
192.229.173.173-10.42.0.211-443-58665-6,No,Female,Commerce,165,62,78,75,Sports,2 - 3 hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,no,No,0
10.42.0.211-66.102.255.61-35485-443-6,Yes,Female,Commerce,160,60,75,85,Cinema,2 - 3 hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,no,No,0
172.217.9.234-10.42.0.151-443-39448-6,Yes,Female,Commerce,153,58,85,74,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,0 - 30 minutes,Awful,good,no,No,0
158.85.58.60-10.42.0.151-5222-43013-6,Yes,Male,Commerce,175,75,88,85,Sports,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,0
208.185.50.45-10.42.0.211-443-59979-6,No,Male,Commerce,161,54,90,73,Cinema,30 - 60 minute,Morning,Yes,30 - 60 Minute,more than 3 hour,Bad,Bad,yes,No,0
10.42.0.211-10.42.0.1-47717-53-17,Yes,Male,Commerce,160,60,85,80,Cinema,30 - 60 minute,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Awful,Bad,yes,No,1
172.217.3.110-10.42.0.151-443-49991-6,Yes,Female,Commerce,153,45,83,73,Cinema,0 - 30 minute,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,No,1
172.217.10.110-10.42.0.151-443-44715-6,Yes,Male,Commerce,160,50,85,80,Sports,30 - 60 minute,Night,Yes,1 - 1.30 hour,0 - 30 minutes,Good,Bad,no,No,1
10.42.0.151-111.206.25.159-48026-80-6,Yes,Male,Commerce,170,65,82,73,Cinema,0 - 30 minute,Anytime,Yes,1.30 - 2 hour,0 - 30 minutes,fabulous,Bad,no,No,0
10.42.0.211-10.42.0.1-1472-53-17,Yes,Female,Commerce,152,65,97,80,Reading books,3 - 4 hour,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,Yes,0
10.42.0.211-123.125.29.220-46081-80-6,Yes,Female,Commerce,164,43,80,89,Reading books,2 - 3 hour,Morning,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,yes,No,1
172.217.3.99-10.42.0.151-443-39237-6,Yes,Female,Commerce,167,65,93,85,Reading books,1 - 2 Hour,Night,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,1
180.149.134.141-10.42.0.211-80-57695-6,Yes,Male,B.com ISM,167,55,55,57,Sports,30 - 60 minute,Anytime,Yes,0 Minute,0 - 30 minutes,Awful,Bad,no,No,1
10.42.0.42-104.254.66.16-49939-80-6,Yes,Male,B.com ISM,155,68,75,75,Sports,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,1 - 1.30 hour,Good,good,yes,No,0
174.35.73.110-10.42.0.211-80-47715-6,No,Female,B.com ISM,153,60,60,70,Sports,1 - 2 Hour,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,Good,Bad,yes,No,1
183.79.17.108-10.42.0.151-443-60432-6,Yes,Male,B.com ISM,170,76,72,67,Video Games,30 - 60 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Bad,Bad,yes,No,1
10.42.0.151-10.42.0.1-2381-53-17,Yes,Male,B.com ISM,172,52,72,70,Cinema,2 - 3 hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,1
171.84.4.11-10.42.0.211-80-48070-6,Yes,Female,BCA,139,33,90,75,Cinema,30 - 60 minute,Night,Yes,30 - 60 Minute,2.30 - 3 hour,Bad,good,yes,No,1
10.42.0.151-10.42.0.1-61587-53-17,Yes,Female,Commerce,153,58,85,74,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,2.30 - 3 hour,Awful,good,yes,No,1
10.42.0.211-10.42.0.1-56168-53-17,No,Female,B.com ISM,155,39,45,45,Sports,3 - 4 hour,Night,No,30 - 60 Minute,2.30 - 3 hour,fabulous,good,no,No,1
