Fid,Certification_Course,Gender,Department,Height_CM,Weight_KG,10th_Mark,12th_Mark,hobbies,daily_studing_time,prefer_to_study_in,like_your_degree,social_medai_video,Travelling_Time ,Stress_Level ,Financial_Status,alcohol_consumption,part_time_job,Label
172.217.10.238-10.42.0.151-443-50096-6,Yes,Female,Commerce,156,52,82,70,Reading books,2 - 3 hour,Morning,Yes,1 - 30 Minute,0 - 30 minutes,fabulous,Bad,yes,Yes,1
172.217.10.34-10.42.0.211-443-44886-6,Yes,Female,Commerce,167,62,80,60,Sports,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,yes,No,1
172.217.11.36-10.42.0.42-443-52963-6,Yes,Female,Commerce,152,60,93.6,85,Sports,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,yes,No,1
172.217.7.196-10.42.0.151-443-57549-17,Yes,Male,B.com Accounting and Finance ,152,50,90,80,Sports,3 - 4 hour,Anytime,Yes,1 - 1.30 hour,30 - 60 minutes,Bad,Bad,no,Yes,1
184.169.166.225-10.42.0.211-443-46823-6,Yes,Female,Commerce,146,61,88,81,Cinema,30 - 60 minute,Morning,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,yes,No,0
10.42.0.42-111.202.114.35-59345-80-6,Yes,Female,Commerce,156,42,87,78,Cinema,30 - 60 minute,Morning,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,1
10.42.0.211-23.206.125.17-38464-80-6,Yes,Male,Commerce,190,90,70,70,Cinema,More Than 4 hour,Anytime,Yes,More than 2 hour,30 - 60 minutes,Awful,Bad,yes,Yes,1
183.79.250.251-10.42.0.151-443-37636-6,Yes,Male,BCA,155,89,89,69,Sports,30 - 60 minute,Anytime,No,More than 2 hour,30 - 60 minutes,Bad,Awful,yes,Yes,1
172.217.9.238-10.42.0.42-443-33455-6,Yes,Male,BCA,160,55,70,60,Video Games,0 - 30 minute,Anytime,Yes,More than 2 hour,30 - 60 minutes,Bad,good,yes,No,1
10.42.0.151-104.244.43.131-48231-443-6,Yes,Male,BCA,153,75,95,90,Cinema,1 - 2 Hour,Morning,Yes,More than 2 hour,1.30 - 2 hour,Good,good,yes,Yes,1
10.42.0.211-10.42.0.1-23338-53-17,Yes,Female,BCA,160,42,80,75,Reading books,2 - 3 hour,Morning,Yes,1 - 30 Minute,1 - 1.30 hour,Good,good,yes,No,1
172.217.11.36-10.42.0.42-443-47367-6,Yes,Male,BCA,100,93,90,62,Reading books,30 - 60 minute,Night,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Bad,no,No,1
10.42.0.211-66.198.24.224-38570-443-6,Yes,Male,BCA,157,58,84,65,Cinema,1 - 2 Hour,Night,Yes,30 - 60 Minute,2 - 2.30 hour,Good,good,no,No,0
10.42.0.211-107.21.247.249-49129-443-6,Yes,Male,BCA,162,73,50,50,Reading books,30 - 60 minute,Night,Yes,1 - 30 Minute,1 - 1.30 hour,Bad,good,no,No,0
10.42.0.42-123.125.115.164-53656-443-6,Yes,Male,BCA,99,78,91,60,Sports,30 - 60 minute,Anytime,Yes,1.30 - 2 hour,0 - 30 minutes,Bad,Bad,no,Yes,0
171.84.4.11-10.42.0.211-80-34523-6,No,Female,BCA,162,60,84,64,Sports,2 - 3 hour,Anytime,Yes,1 - 1.30 hour,30 - 60 minutes,Bad,good,no,No,0
172.217.12.202-10.42.0.211-443-33650-17,No,Female,BCA,160,35,87,75,Cinema,0 - 30 minute,Anytime,No,1 - 30 Minute,1 - 1.30 hour,Good,Bad,no,No,0
202.77.129.150-10.42.0.211-443-44414-6,Yes,Male,BCA,190,70,89.8,63.3,Sports,0 - 30 minute,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Bad,good,yes,No,0
198.11.132.221-10.42.0.211-443-33187-6,Yes,Male,BCA,160,60,89,69,Video Games,3 - 4 hour,Morning,Yes,1 - 1.30 hour,more than 3 hour,Good,good,yes,Yes,1
10.42.0.1-10.42.0.42-53-16130-17,Yes,Male,BCA,150,74,75,55,Sports,30 - 60 minute,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Good,good,yes,No,1
205.204.101.47-10.42.0.211-443-58694-6,Yes,Female,BCA,175,65,93,66,Reading books,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,yes,No,1
192.229.173.173-10.42.0.151-80-46604-6,Yes,Male,BCA,172,91,92,69,Cinema,1 - 2 Hour,Night,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,1
203.205.179.170-10.42.0.211-80-49593-6,Yes,Male,BCA,157,76,88,58,Sports,30 - 60 minute,Night,Yes,1 - 1.30 hour,2 - 2.30 hour,Bad,Fabulous,yes,No,0
172.217.5.228-10.42.0.151-443-53388-6,Yes,Male,BCA,100,60,88,70,Reading books,30 - 60 minute,Anytime,No,30 - 60 Minute,2.30 - 3 hour,Awful,Awful,no,No,1
10.42.0.211-54.192.38.171-56441-443-6,No,Female,BCA,155,52,7.4,79,Sports,1 - 2 Hour,Night,Yes,1.30 - 2 hour,30 - 60 minutes,Good,Bad,yes,No,0
10.42.0.151-10.42.0.1-2130-53-17,Yes,Female,BCA,156,58,75,70,Cinema,More Than 4 hour,Anytime,Yes,More than 2 hour,30 - 60 minutes,Good,good,no,No,1
10.42.0.211-64.71.142.124-32810-80-6,Yes,Male,BCA,106,64,80,70,Sports,0 - 30 minute,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Awful,Bad,no,No,0
174.35.50.72-10.42.0.211-80-41044-6,Yes,Male,BCA,170,67,81.4,69,Cinema,30 - 60 minute,Anytime,No,1.30 - 2 hour,0 - 30 minutes,Good,Awful,yes,Yes,0
172.217.10.237-10.42.0.151-443-39204-6,Yes,Male,BCA,171,60,78,55,Reading books,3 - 4 hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Awful,good,yes,Yes,1
10.42.0.42-119.146.74.32-33590-443-6,No,Male,BCA,177,75,60,60,Cinema,30 - 60 minute,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,no,No,1
10.42.0.42-104.254.66.16-38306-80-6,Yes,Female,BCA,170,45,75,64,Cinema,0 - 30 minute,Anytime,No,More than 2 hour,0 - 30 minutes,Good,good,no,No,0
172.217.11.3-10.42.0.151-443-60923-6,Yes,Female,BCA,180,75,90.2,61.6,Video Games,1 - 2 Hour,Anytime,Yes,More than 2 hour,0 - 30 minutes,Bad,good,yes,No,0
182.140.183.66-10.42.0.42-80-58763-6,Yes,Male,BCA,174,54,80,62,Sports,30 - 60 minute,Night,Yes,30 - 60 Minute,2.30 - 3 hour,fabulous,Awful,yes,No,1
172.217.10.138-10.42.0.211-443-46898-6,No,Male,BCA,172,56,86.5,65.3,Sports,0 - 30 minute,Morning,Yes,More than 2 hour,1 - 1.30 hour,Good,good,no,No,1
10.42.0.211-121.12.98.64-57443-80-6,Yes,Female,BCA,153,50,88.8,71,Cinema,3 - 4 hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,good,no,No,0
10.42.0.151-58.63.236.212-43301-443-6,Yes,Male,BCA,158,75,90,75,Sports,2 - 3 hour,Night,Yes,1.30 - 2 hour,2 - 2.30 hour,Bad,good,yes,No,0
10.42.0.151-31.13.71.37-59807-443-6,No,Male,BCA,177,70,85,61,Reading books,2 - 3 hour,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,no,No,1
10.42.0.211-69.147.82.60-52640-443-6,No,Male,BCA,175,65,76,70,Sports,1 - 2 Hour,Morning,No,1 - 1.30 hour,30 - 60 minutes,Good,good,yes,No,0
172.217.9.234-10.42.0.211-443-49230-6,Yes,Male,BCA,170,70,80,70,Cinema,3 - 4 hour,Night,No,More than 2 hour,more than 3 hour,Bad,good,yes,Yes,1
172.217.10.66-10.42.0.42-443-35754-6,Yes,Male,BCA,180,80,91,73.3,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,No,1
172.217.12.138-10.42.0.42-443-43111-6,Yes,Female,BCA,4.5,42,85,90,Cinema,30 - 60 minute,Anytime,Yes,1 - 1.30 hour,30 - 60 minutes,Good,Awful,yes,No,1
10.42.0.42-23.194.140.226-54707-80-6,Yes,Male,BCA,170,70,80,60,Sports,2 - 3 hour,Night,Yes,30 - 60 Minute,1 - 1.30 hour,Good,good,no,No,1
172.217.3.110-10.42.0.211-80-41487-6,No,Male,BCA,178,83,85.8,63.66,Sports,0 - 30 minute,Anytime,Yes,1.30 - 2 hour,0 - 30 minutes,Good,good,yes,No,0
10.42.0.151-10.42.0.1-45305-53-17,No,Male,BCA,180,67,80,70,Video Games,0 - 30 minute,Anytime,Yes,1 - 30 Minute,0 - 30 minutes,Good,good,no,No,1
10.42.0.211-103.43.91.7-41777-443-6,No,Female,BCA,150,48,75,50,Sports,0 - 30 minute,Night,Yes,1 - 1.30 hour,0 - 30 minutes,Bad,Bad,yes,No,0
216.58.219.196-10.42.0.42-443-45549-6,Yes,Female,BCA,170,50,95,75,Reading books,2 - 3 hour,Anytime,Yes,1 - 1.30 hour,1.30 - 2 hour,Good,good,yes,No,1
10.42.0.211-64.71.142.96-34867-443-6,Yes,Female,BCA,162,65,95,85,Reading books,1 - 2 Hour,Night,Yes,1.30 - 2 hour,30 - 60 minutes,Good,good,yes,No,1
192.229.173.173-10.42.0.151-80-36055-6,Yes,Male,BCA,170,65,90,64,Reading books,30 - 60 minute,Anytime,Yes,1 - 30 Minute,1 - 1.30 hour,Bad,Bad,no,No,1
10.42.0.42-72.21.206.141-42475-443-6,Yes,Male,BCA,153,63,79.4,61.33,Sports,1 - 2 Hour,Anytime,Yes,1.30 - 2 hour,1 - 1.30 hour,Good,Bad,yes,No,0
10.42.0.211-10.42.0.1-2224-53-17,No,Male,BCA,165,84,90,74,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Bad,Bad,no,No,1
10.42.0.151-10.42.0.1-15213-53-17,No,Male,BCA,163,60,77,70,Video Games,2 - 3 hour,Anytime,Yes,30 - 60 Minute,2 - 2.30 hour,Good,good,no,No,0
10.42.0.151-121.12.98.64-33799-80-6,Yes,Male,BCA,183,80,80,60,Video Games,0 - 30 minute,Anytime,Yes,1 - 30 Minute,0 - 30 minutes,Good,Bad,yes,No,0
8.0.6.4-8.6.0.1-0-0-0,Yes,Male,BCA,175,85,90,57,Reading books,1 - 2 Hour,Anytime,Yes,0 Minute,30 - 60 minutes,Good,Bad,yes,No,1
10.42.0.211-111.221.77.148-38307-40010-6,Yes,Male,BCA,156,53,84,63,Sports,0 - 30 minute,Morning,Yes,More than 2 hour,more than 3 hour,Good,Bad,yes,No,1
172.217.10.42-10.42.0.151-443-59700-6,Yes,Male,BCA,154,50,86,68,Sports,30 - 60 minute,Anytime,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,yes,Yes,1
10.42.0.151-103.235.46.212-55190-443-6,Yes,Female,BCA,172,49,94,69,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,2 - 2.30 hour,Bad,good,yes,No,1
10.42.0.151-58.63.236.212-42490-443-6,Yes,Male,BCA,155,52,69,54,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Bad,good,yes,No,1
10.42.0.42-52.84.29.55-46483-443-6,Yes,Male,BCA,172,72,85,64,Cinema,0 - 30 minute,Morning,No,1 - 30 Minute,30 - 60 minutes,Bad,Bad,no,No,1
10.42.0.211-64.71.142.124-40227-80-6,No,Male,BCA,181,60,88,88,Reading books,1 - 2 Hour,Anytime,No,30 - 60 Minute,1.30 - 2 hour,Bad,Awful,yes,Yes,0
171.84.4.11-10.42.0.211-80-60021-6,No,Male,BCA,150,65,85,50,Video Games,30 - 60 minute,Anytime,Yes,1.30 - 2 hour,0 - 30 minutes,Bad,Bad,yes,No,1
10.42.0.211-95.213.11.133-54063-443-6,Yes,Male,BCA,179,70,69,60,Video Games,0 - 30 minute,Night,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,yes,No,1
10.42.0.151-10.42.0.1-7240-53-17,Yes,Male,BCA,187,65,85,60,Sports,30 - 60 minute,Anytime,Yes,1 - 1.30 hour,2 - 2.30 hour,Bad,good,yes,No,1
10.42.0.211-23.208.217.187-49997-443-6,Yes,Male,BCA,167,80,85,72,Sports,1 - 2 Hour,Anytime,No,1.30 - 2 hour,1 - 1.30 hour,Good,Bad,yes,Yes,1
10.42.0.211-123.125.29.138-57924-443-6,Yes,Male,BCA,170,50,70,78,Cinema,0 - 30 minute,Anytime,Yes,More than 2 hour,0 - 30 minutes,Bad,good,no,No,1
183.79.249.252-10.42.0.211-80-35051-6,Yes,Female,B.com Accounting and Finance ,132,57,72,75,Reading books,2 - 3 hour,Night,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,no,Yes,0
172.217.10.104-10.42.0.42-443-56965-6,Yes,Male,BCA,169,85,80,60,Video Games,30 - 60 minute,Night,Yes,1.30 - 2 hour,30 - 60 minutes,Bad,good,yes,No,0
8.41.222.241-10.42.0.151-443-59960-6,Yes,Male,BCA,150,60,60,68.1,Sports,30 - 60 minute,Morning,Yes,1 - 1.30 hour,30 - 60 minutes,Good,Bad,yes,Yes,1
222.73.28.96-10.42.0.211-80-37140-6,Yes,Male,BCA,180,75,84,55,Video Games,30 - 60 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Bad,good,yes,No,1
10.42.0.211-52.84.26.179-54436-443-6,Yes,Female,BCA,154,45,72.6,62.6,Cinema,0 - 30 minute,Night,Yes,30 - 60 Minute,30 - 60 minutes,Good,good,no,No,1
169.45.210.78-10.42.0.42-5222-36611-6,Yes,Female,BCA,139,62,91,86,Cinema,30 - 60 minute,Morning,Yes,1 - 1.30 hour,0 - 30 minutes,Good,good,no,No,0
172.217.11.3-10.42.0.151-443-47221-6,No,Male,BCA,175,60,90,65,Sports,0 - 30 minute,Anytime,Yes,1 - 30 Minute,1 - 1.30 hour,Good,Bad,yes,No,0
10.42.0.151-104.244.43.131-57189-443-6,Yes,Male,BCA,172,72,78,67,Cinema,3 - 4 hour,Anytime,Yes,1 - 30 Minute,1 - 1.30 hour,Good,good,no,No,1
10.42.0.151-119.167.164.21-52978-80-6,Yes,Male,BCA,170,55,91,81,Reading books,30 - 60 minute,Anytime,Yes,30 - 60 Minute,1.30 - 2 hour,Good,Bad,yes,No,0
10.42.0.211-111.202.114.77-49800-443-6,No,Male,BCA,170,65,82,55,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,30 - 60 minutes,Good,Bad,yes,No,1
10.42.0.211-119.167.164.34-41935-80-6,No,Male,BCA,185,65,80.5,53,Sports,2 - 3 hour,Morning,Yes,1 - 1.30 hour,1.30 - 2 hour,Good,Awful,no,No,1
172.217.9.234-10.42.0.211-443-32958-6,Yes,Male,BCA,177,57,75,57,Sports,0 - 30 minute,Morning,Yes,1.30 - 2 hour,0 - 30 minutes,Good,good,yes,No,0
182.22.24.124-10.42.0.211-443-53486-6,No,Male,BCA,170,86,75,68,Sports,0 - 30 minute,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,Good,good,no,No,1
203.205.191.27-10.42.0.151-80-43272-6,Yes,Male,B.com Accounting and Finance ,174,65,90,85,Cinema,1 - 2 Hour,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,0
10.42.0.151-104.244.42.129-42444-443-6,Yes,Male,BCA,167,72,85,60,Video Games,2 - 3 hour,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,fabulous,good,no,No,0
198.105.244.11-10.42.0.42-80-48147-6,Yes,Female,BCA,155,48,84.2,64.8,Sports,30 - 60 minute,Anytime,Yes,1 - 30 Minute,1.30 - 2 hour,Good,good,yes,No,0
10.42.0.1-10.42.0.42-53-17774-17,Yes,Male,BCA,134,40,91.4,65.5,Cinema,0 - 30 minute,Morning,Yes,More than 2 hour,30 - 60 minutes,Good,good,no,No,1
219.142.78.162-10.42.0.211-80-52931-6,No,Male,BCA,159,51,86,72,Reading books,More Than 4 hour,Morning,No,30 - 60 Minute,1 - 1.30 hour,Good,Bad,yes,No,0
10.42.0.211-10.42.0.1-62566-53-17,Yes,Female,BCA,150,50,85,55,Video Games,2 - 3 hour,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Good,good,no,Yes,1
10.42.0.211-10.42.0.1-29729-53-17,Yes,Female,BCA,150,40,80,60,Sports,30 - 60 minute,Anytime,Yes,More than 2 hour,0 - 30 minutes,Good,good,yes,No,0
8.0.6.4-8.6.0.1-0-0-0,Yes,Male,BCA,180,85,78,58,Sports,0 - 30 minute,Morning,No,1 - 30 Minute,30 - 60 minutes,Good,good,no,No,1
180.163.255.159-10.42.0.211-80-38935-6,Yes,Male,BCA,120,55,75,65,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,0 - 30 minutes,Good,good,yes,No,0
10.42.0.211-120.55.89.238-49582-8977-6,Yes,Male,BCA,182,58,80,60,Sports,1 - 2 Hour,Night,Yes,30 - 60 Minute,30 - 60 minutes,Bad,good,yes,No,1
172.217.12.142-10.42.0.151-443-54263-6,Yes,Male,BCA,165,67,90,70,Reading books,30 - 60 minute,Morning,No,1 - 30 Minute,more than 3 hour,Good,Bad,no,Yes,1
10.42.0.211-69.147.64.34-34232-443-6,Yes,Female,B.com Accounting and Finance ,160,38,80,88,Sports,2 - 3 hour,Anytime,Yes,30 - 60 Minute,2 - 2.30 hour,Good,good,no,No,0
180.149.134.221-10.42.0.42-80-48139-6,Yes,Male,B.com Accounting and Finance ,170,80,75,90,Sports,More Than 4 hour,Anytime,Yes,30 - 60 Minute,1.30 - 2 hour,fabulous,Bad,no,No,0
172.217.12.132-10.42.0.211-443-33692-6,No,Male,BCA,165,45,50,50,Cinema,0 - 30 minute,Night,Yes,1 - 30 Minute,0 - 30 minutes,fabulous,Fabulous,no,Yes,0
216.58.219.206-10.42.0.151-443-43482-6,Yes,Female,B.com Accounting and Finance ,148,78,71.2,79.5,Cinema,30 - 60 minute,Anytime,Yes,30 - 60 Minute,1 - 1.30 hour,Good,Bad,no,No,0
10.42.0.211-64.71.142.124-45317-443-6,No,Female,B.com Accounting and Finance ,130,35,80.2,70,Reading books,More Than 4 hour,Morning,No,30 - 60 Minute,1 - 1.30 hour,Good,Bad,no,No,0
10.42.0.211-31.13.80.8-46190-443-6,No,Female,BCA,140,45,85,63,Sports,30 - 60 minute,Night,Yes,More than 2 hour,30 - 60 minutes,Bad,Bad,no,No,0
172.217.12.170-10.42.0.42-443-53262-6,Yes,Male,BCA,175,70,90.2,72.8,Video Games,1 - 2 Hour,Morning,Yes,1 - 1.30 hour,1 - 1.30 hour,Good,Bad,no,No,0
10.42.0.151-104.88.88.137-43558-80-6,No,Male,BCA,175,76,61.8,68.3,Sports,2 - 3 hour,Morning,Yes,30 - 60 Minute,1.30 - 2 hour,Good,good,yes,No,0
172.217.3.99-10.42.0.151-443-59662-6,No,Male,BCA,160,70,80,69,Sports,30 - 60 minute,Morning,Yes,30 - 60 Minute,1 - 1.30 hour,Awful,good,yes,No,1
172.217.11.46-10.42.0.151-443-53998-6,Yes,Female,BCA,155,43,79,61,Cinema,1 - 2 Hour,Night,Yes,1.30 - 2 hour,0 - 30 minutes,Awful,Awful,no,No,1
209.85.144.113-10.42.0.211-443-54102-6,Yes,Female,BCA,156,50,64,49.5,Reading books,2 - 3 hour,Night,Yes,30 - 60 Minute,30 - 60 minutes,Bad,Bad,no,No,0
10.42.0.211-66.198.24.225-34050-443-6,Yes,Female,BCA,160,50,86,68,Video Games,2 - 3 hour,Anytime,Yes,30 - 60 Minute,0 - 30 minutes,Good,Bad,yes,No,0
10.42.0.211-59.38.112.48-58972-443-6,Yes,Male,BCA,175,68.9,71,66,Video Games,30 - 60 minute,Morning,Yes,1 - 1.30 hour,2 - 2.30 hour,Good,good,no,No,1
157.240.2.25-10.42.0.42-443-51678-6,Yes,Female,BCA,155,50,80,73,Cinema,0 - 30 minute,Anytime,Yes,1 - 30 Minute,30 - 60 minutes,Good,Bad,yes,Yes,0
172.217.12.170-10.42.0.42-443-39398-6,No,Male,Commerce,150,55,50,50,Sports,3 - 4 hour,Morning,Yes,More than 2 hour,1 - 1.30 hour,Good,Bad,no,No,1
172.217.11.46-10.42.0.151-443-57921-6,Yes,Male,Commerce,165,75,65,75,Cinema,0 - 30 minute,Anytime,Yes,1 - 1.30 hour,0 - 30 minutes,fabulous,good,no,Yes,0
151.101.129.140-10.42.0.151-80-42847-6,No,Male,Commerce,156,50,90,80,Sports,1 - 2 Hour,Morning,No,1 - 1.30 hour,30 - 60 minutes,Awful,Bad,yes,No,0
223.252.199.21-10.42.0.211-443-51197-6,Yes,Male,Commerce,167,53,85,91,Video Games,30 - 60 minute,Morning,Yes,30 - 60 Minute,2 - 2.30 hour,Bad,Bad,no,No,1
